Bulan,Produksi (kWh),Kesusutan (kWh),Persentase (%),Terjual (kWh),Pelanggan
Januari 2017,93030.17,6734.37,7.24,8618443.0,280434
Februari 2017,88774.73,5738.41,6.46,82983.06,281621
Maret 2017,95474.76,7488.46,7.84,8792902.0,283204
April 2017,94920.72,6946.02,7.32,8791774.0,284293
Mei 2017,97263.82,8022.88,8.25,89182.57,285688
Juni 2017,90292.72,4184.1,4.63,8605445.0,286777
Juli 2017,93615.48,8292.35,8.86,85266.96,287989
Agustus 2017,92076.66,5109.93,5.55,8691148.0,289457
September 2017,92416.37,7021.72,7.6,85339.2,290894
Oktober2017,96978.03,7334.27,7.56,89584.84,292001
November2017,95322.97,5985.95,6.28,89279.06,293181
Desember 2017,96112.32,5148.34,5.36,90905.5,294376
Januari 2018,94638373.0,8011363.0,8.47,86627010.0,295761
Februari 2018,85918691.0,4879820.0,5.68,81038871.0,296871
Maret 2018,97236856.0,7258820.0,7.47,89978036.0,297948
April 2018,93828573.0,6164102.0,6.57,87664471.0,298954
Mei 2018,99055749.0,8101708.0,8.18,90954041.0,300119
Juni 2018,92521921.0,5750269.0,6.22,86771652.0,300822
Juli 2018,97629727.0,7190761.0,7.37,90438966.0,302089
Agustus 2018,99343250.0,7584380.0,7.63,91758870.0,303224
September 2018,98643193.0,6402711.0,6.49,92240482.0,304232
Oktober 2018,102103475.0,7979837.0,7.82,94123638.0,305339
November 2018,99446134.0,6176137.0,6.21,93269997.0,306560
Desember 2018,101645782.0,6722389.0,6.61,94923393.0,307738
Januari 2019,132342829.0,11853724.0,8.97,94513531.0,308885
Februari 2019,128923068.0,13973938.0,10.86,90023146.0,310072
Maret 2019,144497408.0,12805364.0,8.88,98581044.0,311114
April 2019,140254561.0,12053187.0,8.61,96630814.0,311937
Mei 2019,145531722.0,11982966.0,8.25,98619182.0,312735
Juni 2019,129535162.0,9363316.0,7.24,88769184.0,313440
Juli 2019,141050672.0,10817750.0,7.68,95516443.0,314805
Agustus 2019,145024168.0,12208438.0,8.43,96854664.0,316031
September 2019,146622012.0,11953738.0,8.17,98768808.0,317121
Oktober 2019,147437172.0,10899516.0,7.41,99991465.0,318394
November 2019,150694435.0,10381038.0,6.9,99699736.0,319349
Desember 2019,152613616.0,10552785.0,6.93,100823262.0,320533
Januari 2020,154550640,9344622,6.06,134800007,472265
Februari 2020,146573070,9987292,6.83,127520104,474009
Maret 2020,157909217,14418933,9.13,134449668,475916
April 2020,147492693,5357390,3.63,133182609,478242
Mei 2020,150984154,10550732,6.99,129320658,479853
Juni 2020,144317572,8892544,6.16,125208871,482217
Juli 2020,146216872,8321303,5.69,126971374,484440
Agustus 2020,147974968,8589668,5.81,128887249,486399
September 2020,146990218,7861932,5.35,126566811,488551
Oktober 2020,151794001,8651978,5.7,129625389,490447
November 2020,151776858,7508830,4.95,100108400,492973
Desember 2020,153161865,7759069,5.07,130520177,495341
Januari 2021,-,-,-,-,-
Februari 2021,-,-,-,-,-
Maret 2021,-,-,-,-,-
April 2021,-,-,-,-,-
Mei 2021,-,-,-,-,-
Juni 2021,-,-,-,-,-
Juli 2021,-,-,-,-,-
Agustus 2021,-,-,-,-,-
September 2021,-,-,-,-,-
Oktober 2021,-,-,-,-,-
November 2021,-,-,-,-,-
Desember 2021,-,-,-,-,-
Januari 2022,154784834,10666810,6.89,136216653,521760
Februari 2022,141256952,9847862,6.97,124765429,523390
Maret 2022,157871161,11574916,7.33,138474440,525225
April 2022,157024672,11417483,7.27,137341640,526924
Mei 2022,155672870,12769175,8.2,140362401,528210
Juni 2022,152192985,8883186,5.84,139064672,530512
Juli 2022,151161622,10897965,7.21,139948278,532242
Agustus 2022,154892358,11991790,7.74,142861370,534183
September 2022,150099849,10658881,7.1,139225264,535991
Oktober 2022,159472700,11327964,7.1,145278576,537922
November 2022,155183905,8858316,5.71,143069501,539842
Desember 2022,159813297,10265035,6.42,148486711,542130
Januari 2023,155577663,10540665,6.78,145129238,544041
Februari 2023,142997441,10223847,6.95,133255768,545963
Maret 2023,162013909,12163872,7.5,149540525,547781
April 2023,155493239,10812767,7.1,144738075,549480
Mei 2023,169612775,13665126,7.31,155200681,552098
Juni 2023,161247324,10226065,7.14,150384138,554593
Juli 2023,169249314,13157599,7.24,154868884,556877
Agustus 2023,176106167,11585998,7.15,163151738,559299
September 2023,182477852,13270368,7.16,167918704,561850
Oktober 2023,191133269,12770130,7.11,175916549,564484
November 2023,184954478,11916553,7.04,171314299,566847
Desember 2023,214179630,12479051,6.92,199035106,569564
